Donor,Recipient,Year,dAid,rInflow,dRestrict,rConflict,dGDP,dUnemployment,dPopulation,rDemo,drColonly,drLanguage,drDistance,polity2,rInflowLead
US,Afghanistan,1999,40.59,877,1,7,10711100,4.300000191,279.30003,0,0,0,11626.58,-7,1011
US,Afghanistan,2000,14.81,1011,0,7,11158100,4.099999905,282.49631,0,0,0,11626.58,-7,1202
US,Albania,1997,37.93,4374,3,2,9783200,5,272.64334,0,0,0,8882.747,5,4220
US,Albania,1998,43.78,4220,2,0,10213800,4.599999905,275.986072,0,0,0,8882.747,5,3695
US,Albania,1999,89.29,3695,1,0,10711100,4.300000191,279.30003,0,0,0,8882.747,5,4755
US,Albania,2000,89.3,4755,0,0,11158100,4.099999905,282.49631,0,0,0,8882.747,5,4358
US,Albania,2001,68.09,4358,0,0,11280100,4.800000191,285.544778,0,0,0,8882.747,5,3765
US,Albania,2002,60.65,3765,1,0,11486300,5.900000095,288.467308,1,0,0,8882.747,7,3362
US,Albania,2003,55.19,3362,2,0,11779500,6.099999905,291.290823,1,0,0,8882.747,7,3840
US,Albania,2004,48.48,3840,2,0,12189400,5.599999905,294.06312,1,0,0,8882.747,7,5947
US,Albania,2005,48.58,5947,3,0,12564300,5.199999809,296.820296,1,0,0,8882.747,9,7914
US,Albania,2006,46.4,7914,4,0,12898400,4.699999809,299.56447,1,0,0,8882.747,9,5737
US,Albania,2007,27.11,5737,5,0,13144400,4.699999809,302.284564,1,0,0,8882.747,9,5754
US,Albania,2008,45.06,5754,5,0,13097200,5.900000095,304.989064,1,0,0,8882.747,9,5137
US,Albania,2009,33.69,5137,4,0,12690000,9.399999619,307.686729,1,0,0,8882.747,9,4711
US,Albania,2010,31.72,4711,5,0,12992000,9.699999809,310.383948,1,0,0,8882.747,9,3612
US,Algeria,1999,0.43,789,1,4,10711100,4.300000191,279.30003,0,0,0,8125.746,-3,906
US,Algeria,2000,1.1,906,0,4,11158100,4.099999905,282.49631,0,0,0,8125.746,-3,875
US,Algeria,2001,0.26,875,0,4,11280100,4.800000191,285.544778,0,0,0,8125.746,-3,1030
US,Algeria,2002,4.03,1030,1,4,11486300,5.900000095,288.467308,0,0,0,8125.746,-3,759
US,Algeria,2003,4.01,759,2,4,11779500,6.099999905,291.290823,0,0,0,8125.746,-3,805
US,Algeria,2004,5.08,805,2,4,12189400,5.599999905,294.06312,0,0,0,8125.746,2,1115
US,Algeria,2005,1.34,1115,3,0,12564300,5.199999809,296.820296,0,0,0,8125.746,2,1300
US,Algeria,2006,3.27,1300,4,0,12898400,4.699999809,299.56447,0,0,0,8125.746,2,1036
US,Algeria,2007,4.96,1036,5,0,13144400,4.699999809,302.284564,0,0,0,8125.746,2,1037
US,Algeria,2008,12.82,1037,5,0,13097200,5.900000095,304.989064,0,0,0,8125.746,2,1485
US,Algeria,2009,11.85,1485,4,0,12690000,9.399999619,307.686729,0,0,0,8125.746,2,1305
US,Algeria,2010,14.66,1305,5,0,12992000,9.699999809,310.383948,0,0,0,8125.746,2,1364
US,Angola,1997,37.15,75,3,7,9783200,5,272.64334,0,0,0,12153.61,-3,66
US,Angola,1998,57.97,66,2,7,10213800,4.599999905,275.986072,0,0,0,12153.61,-3,57
US,Angola,1999,67,57,1,7,10711100,4.300000191,279.30003,0,0,0,12153.61,-3,87
US,Angola,2000,83.43,87,0,7,11158100,4.099999905,282.49631,0,0,0,12153.61,-3,94
US,Angola,2001,46.92,94,0,7,11280100,4.800000191,285.544778,0,0,0,12153.61,-3,92
US,Angola,2002,163.32,92,1,7,11486300,5.900000095,288.467308,0,0,0,12153.61,-2,59
US,Angola,2003,191.17,59,2,1,11779500,6.099999905,291.290823,0,0,0,12153.61,-2,107
US,Angola,2004,140.93,107,2,1,12189400,5.599999905,294.06312,0,0,0,12153.61,-2,188
US,Angola,2005,75.29,188,3,1,12564300,5.199999809,296.820296,0,0,0,12153.61,-2,272
US,Angola,2006,55.42,272,4,0,12898400,4.699999809,299.56447,0,0,0,12153.61,-2,199
US,Angola,2007,54.06,199,5,0,13144400,4.699999809,302.284564,0,0,0,12153.61,-2,221
US,Angola,2008,60.84,221,5,0,13097200,5.900000095,304.989064,0,0,0,12153.61,-2,173
US,Angola,2009,56,173,4,0,12690000,9.399999619,307.686729,0,0,0,12153.61,-2,148
US,Angola,2010,108.12,148,5,0,12992000,9.699999809,310.383948,0,0,0,12153.61,-2,148
US,Argentina,1997,0.42,1961,3,0,9783200,5,272.64334,1,0,0,8678.352,7,1503
US,Argentina,1998,0.37,1503,2,0,10213800,4.599999905,275.986072,1,0,0,8678.352,7,1387
US,Argentina,1999,1.11,1387,1,0,10711100,4.300000191,279.30003,1,0,0,8678.352,8,2317
US,Argentina,2000,1.67,2317,0,0,11158100,4.099999905,282.49631,1,0,0,8678.352,8,3297
US,Argentina,2001,4.4,3297,0,0,11280100,4.800000191,285.544778,1,0,0,8678.352,8,3661
US,Argentina,2002,1.66,3661,1,0,11486300,5.900000095,288.467308,1,0,0,8678.352,8,3129
US,Argentina,2003,12.8,3129,2,0,11779500,6.099999905,291.290823,1,0,0,8678.352,8,4805
US,Argentina,2004,3.66,4805,2,0,12189400,5.599999905,294.06312,1,0,0,8678.352,8,7081
US,Argentina,2005,1.36,7081,3,0,12564300,5.199999809,296.820296,1,0,0,8678.352,8,7327
US,Argentina,2006,2.75,7327,4,0,12898400,4.699999809,299.56447,1,0,0,8678.352,8,5645
US,Argentina,2007,12.78,5645,5,0,13144400,4.699999809,302.284564,1,0,0,8678.352,8,5353
US,Argentina,2008,3.69,5353,5,0,13097200,5.900000095,304.989064,1,0,0,8678.352,8,5780
US,Argentina,2009,3.41,5780,4,0,12690000,9.399999619,307.686729,1,0,0,8678.352,8,4399
US,Argentina,2010,5.83,4399,5,0,12992000,9.699999809,310.383948,1,0,0,8678.352,8,4473
US,Armenia,1997,154.45,2093,3,0,9783200,5,272.64334,0,0,0,10272.02,-6,1144
US,Armenia,1998,89.66,1144,2,0,10213800,4.599999905,275.986072,0,0,0,10272.02,5,1250
US,Armenia,1999,131.59,1250,1,0,10711100,4.300000191,279.30003,0,0,0,10272.02,5,1253
US,Armenia,2000,130.75,1253,0,0,11158100,4.099999905,282.49631,0,0,0,10272.02,5,1762
US,Armenia,2001,124.53,1762,0,0,11280100,4.800000191,285.544778,0,0,0,10272.02,5,1800
US,Armenia,2002,136.58,1800,1,0,11486300,5.900000095,288.467308,0,0,0,10272.02,5,1287
US,Armenia,2003,84.63,1287,2,0,11779500,6.099999905,291.290823,0,0,0,10272.02,5,1833
US,Armenia,2004,86.56,1833,2,0,12189400,5.599999905,294.06312,0,0,0,10272.02,5,2591
US,Armenia,2005,73.57,2591,3,0,12564300,5.199999809,296.820296,0,0,0,10272.02,5,6317
